ntd_id,agency,period,mode,type_of_service,ridership,vehicle_revenue_hours,riders_per_revenue_hour
10003,Massachusetts Bay Transportation Authority,2024-05-01,Heavy Rail,DO,7191380,122070,58.91
20008,MTA New York City Transit,2024-05-01,Heavy Rail,DO,198452660,1871553,106.04
30019,Southeastern Pennsylvania Transportation Authority,2024-05-01,Heavy Rail,DO,5154063,94901,54.31
30030,Washington Metropolitan Area Transit Authority,2024-05-01,Heavy Rail,DO,13789248,356294,38.70
40034,County of Miami-Dade,2024-05-01,Heavy Rail,DO,1314112,29441,44.64
50066,Chicago Transit Authority,2024-05-01,Heavy Rail,DO,11330441,340364,33.29
90003,San Francisco Bay Area Rapid Transit District,2024-05-01,Heavy Rail,DO,4767259,183635,25.96
90154,Los Angeles County Metropolitan Transportation Authority,2024-05-01,Heavy Rail,DO,1869086,23903,78.19
