county_fips,state,county,data_year,age_adjusted_depression_percent,ci_low_percent,ci_high_percent,adult_population,measure_id
04013,AZ,Maricopa,2023,18.9,17.0,20.9,3572375,DEPRESSION
06037,CA,Los Angeles,2023,19.3,17.5,21.3,7710575,DEPRESSION
06075,CA,San Francisco,2023,19.8,17.1,22.8,698599,DEPRESSION
17031,IL,Cook,2023,19.0,16.8,21.3,4031580,DEPRESSION
25017,MA,Middlesex,2023,24.1,21.7,26.6,1310019,DEPRESSION
36061,NY,New York,2023,18.6,16.8,20.7,1381420,DEPRESSION
48201,TX,Harris,2023,19.5,17.0,22.1,3595915,DEPRESSION
53033,WA,King,2023,23.4,21.7,25.3,1836529,DEPRESSION
